Realm Key,Product Key,Quality Level,Unit Price
1,1,0,120.34
1,2,0,20.03
1,3,0,24.44
1,4,0,100.00
1,5,0,296.34
1,6,0,2.15
1,7,0,1595.37
1,8,0,138.96
1,9,0,320.01
1,10,0,85.41
1,11,0,10.59
1,13,0,163.67
1,14,0,118.01
1,15,0,2.05
1,16,0,2424.60
1,17,0,47.66
1,18,0,788.61
1,19,0,65.66
1,20,0,6.80
1,21,0,5.88
1,22,0,136.88
1,23,0,14.21
1,24,0,103.76
1,25,0,250.32
1,26,0,91.52
1,27,0,0.83
1,28,0,5567.72
1,29,0,1990.13
1,30,0,1.79
1,31,0,0.82
1,32,0,33.11
1,33,0,671.58
1,34,0,2387.25
1,35,0,1.35
1,36,0,133.07
1,37,0,127.95
1,38,0,31.48
1,39,0,38.24
1,40,0,120.58
1,41,0,125.37
1,42,0,19.38
1,43,0,223.17
1,44,0,2279.96
1,45,0,3439.02
1,46,0,1.34
1,47,0,212.14
1,48,0,55.08
1,49,0,251.78
1,50,0,184.56
1,51,0,27.28
1,52,0,3.85
1,53,0,70.30
1,54,0,5402.99
1,55,0,14.70
1,56,0,10.68
1,57,0,482.60
1,58,0,2934.70
1,59,0,51.22
1,60,0,14.10
1,61,0,16.40
1,62,0,30.93
1,62,1,51.50
1,62,2,51.50
1,63,0,6411.70
1,64,0,0.69
1,65,0,2.91
1,66,0,2182.02
1,67,0,44.75
1,68,0,457.17
1,69,0,807.67
1,70,0,11493.46
1,71,0,5.08
1,72,0,45.00
1,73,0,4463.24
1,75,0,1153.68
1,76,0,1983.64
1,77,0,25.28
1,78,0,1.32
1,79,0,4207.52
1,80,0,887.63
1,81,0,6151.62
1,83,0,768.80
1,84,0,148.10
1,85,0,2395.75
1,86,0,21.06
1,87,0,7.75
1,88,0,10.71
1,88,1,13.40
1,88,2,13.40
1,89,0,196.29
1,90,0,538.67
1,91,0,1569.58
1,92,0,479.84
1,93,0,33.49
1,94,0,2.37
1,96,0,60.83
1,97,0,39.08
1,98,0,43.33
1,99,0,8.21
1,100,0,100.88
1,101,0,10.87
1,102,0,0.24
1,102,1,0.25
1,102,2,0.25
1,103,0,111.89
1,104,0,9746.79
1,105,0,12.69
1,106,0,920.54
1,107,0,881.29
1,108,0,228.31
1,109,0,152.28
1,110,0,168.14
1,111,0,578.48
1,112,0,11132.17
1,113,0,31.62
1,114,0,823.88
1,115,0,745.43
1,116,0,1.26
1,118,0,1360.00
1,119,0,11484.00
1,120,0,0.24
1,121,0,7.58
1,123,0,595.28
1,124,0,12.19
1,125,0,98.79
1,126,0,8025.00
1,128,0,38.42
1,129,0,12.32
1,130,0,21.77
1,131,0,31.17
1,134,0,18.02
1,135,0,1.59
1,136,0,726.93
1,137,0,913.51
1,138,0,199.12
1,139,0,0.36
1,140,0,430.94
1,141,0,5654.55
1,142,0,4.93
1,143,0,35.85
1,144,0,2.78
2,1,0,128.46
2,2,0,19.12
2,3,0,27.42
2,4,0,80.25
2,5,0,298.14
2,6,0,2.25
2,7,0,1519.29
2,8,0,93.17
2,9,0,307.88
2,10,0,81.19
2,11,0,10.10
2,13,0,150.06
2,14,0,112.10
2,15,0,2.07
2,16,0,2432.62
2,17,0,46.34
2,18,0,738.42
2,19,0,65.33
2,20,0,6.32
2,21,0,6.03
2,22,0,126.27
2,23,0,13.73
2,24,0,93.61
2,25,0,250.83
2,26,0,500.00
2,27,0,1.04
2,28,0,5283.09
2,29,0,1848.11
2,30,0,1.72
2,31,0,0.88
2,32,0,32.50
2,33,0,606.12
2,34,0,2382.70
2,35,0,1.41
2,36,0,136.73
2,37,0,133.03
2,38,0,28.38
2,39,0,38.68
2,40,0,115.38
2,41,0,110.06
2,42,0,19.44
2,43,0,236.91
2,44,0,2220.43
2,45,0,3387.06
2,46,0,1.27
2,47,0,222.40
2,48,0,54.88
2,49,0,205.22
2,50,0,148.96
2,51,0,27.17
2,52,0,3.88
2,53,0,51.24
2,54,0,4638.21
2,55,0,15.14
2,56,0,11.11
2,57,0,472.12
2,58,0,2969.86
2,59,0,51.22
2,60,0,13.01
2,61,0,17.34
2,62,0,29.81
2,63,0,6103.33
2,64,0,0.73
2,65,0,3.41
2,66,0,2522.86
2,67,0,45.76
2,68,0,490.00
2,69,0,825.28
2,70,0,11685.37
2,71,0,5.18
2,72,0,41.95
2,73,0,4568.07
2,75,0,1179.37
2,76,0,2299.23
2,77,0,24.28
2,78,0,1.40
2,79,0,4220.92
2,80,0,919.80
2,81,0,6400.00
2,83,0,754.54
2,84,0,112.94
2,85,0,2163.98
2,86,0,18.51
2,87,0,8.60
2,88,0,10.12
2,89,0,166.45
2,90,0,539.47
2,91,0,1564.15
2,92,0,474.26
2,93,0,31.39
2,94,0,2.35
2,96,0,50.89
2,97,0,39.34
2,98,0,41.63
2,99,0,8.89
2,100,0,91.74
2,101,0,10.85
2,102,0,0.24
2,103,0,113.40
2,104,0,8663.75
2,105,0,12.78
2,106,0,838.57
2,107,0,812.08
2,108,0,238.00
2,109,0,138.00
